,Unnamed: 0,docid,string,label,start,end,Remove
60977,60977,7218,ALONSO DE ZAMORA,PER,142,145,0
69560,69560,8363,ALONSO DE ZAMORA,PER,128,131,0
69413,69413,8350,ALONSO DE ZAMORA,PER,9,12,0
69480,69480,8356,ALONSO DE ZAMORATORO,PER,0,3,0
46981,46981,5204,ALONSO DE ZAMORATORO,PER,60,63,0
69666,69666,8373,ALONSO DE ZAMORATORO,PER,9,12,0
69556,69556,8363,ALONSO DE ZAMORATORO,PER,32,35,0
69659,69659,8372,ALONSO DE ZAMORATORO,PER,33,36,0
69623,69623,8369,ALONSO DE ZAMORATORO,PER,7,10,0
69616,69616,8368,ALONSO DE ZAMORATORO,PER,7,10,0
69409,69409,8349,ALONSO DE ZAMORATORO,PER,29,32,0
69490,69490,8357,ALONSO DE ZAMORATORO,PER,0,3,0
69472,69472,8354,ALONSO DE ZAMORATORO,PER,4,7,0
69534,69534,8361,ALONSO DE ZAMORATORO,PER,15,18,0
69424,69424,8352,ALONSO DE ZAMORATORO,PER,0,3,0
69602,69602,8366,ALONSO DE ZAMORATORO,PER,7,10,0
63130,63130,7536,ALONSO DE ZARATE,PER,18,21,0
70534,70534,8499,ALONSO DE ZARATE,PER,347,350,0
70755,70755,8505,ALONSO DE ZARATE,PER,249,252,0
69695,69695,8376,ALONSO DE ZARATE,PER,0,3,0
70757,70757,8505,ALONSO DE ZARATE,PER,264,267,0
70759,70759,8505,ALONSO DE ZARATE,PER,288,291,0
70553,70553,8501,ALONSO DE ZARATE,PER,16,19,0
70497,70497,8496,ALONSO DE ZARATE,PER,0,3,0
69702,69702,8377,ALONSO DE ZARATE,PER,0,3,0
70550,70550,8500,ALONSO DE ZARATE,PER,21,24,0
70339,70339,8462,ALONSO DE ZARATE,PER,10,13,0
70246,70246,8450,ALONSO DE ZARATE,PER,29,32,0
70363,70363,8466,ALONSO DE ZARATE,PER,15,18,0
69671,69671,8374,ALONSO DE ZARATE,PER,0,3,0
69677,69677,8375,ALONSO DE ZARATE,PER,0,3,0
70461,70461,8484,ALONSO DE ZARATE,PER,47,50,0
70528,70528,8499,ALONSO DE ZARATE,PER,263,266,0
51851,51851,5883,ALONSO FAJARDO,PER,47,49,0
70558,70558,8502,ALONSO FAJARDO,PER,109,111,0
49175,49175,5505,ALONSO FAJARDO,PER,51,53,0
