,token,score,match
359,Maeda,100,maeda
360,punta,80,junta
361,LUCIANO,100,luciano
362,Virgenes,77,irene
363,Sibores,83,bores
364,MACHADO,100,machado
365,CORNEIL,92,cornel
366,Anudo,83,sancudo
367,Bohorquez,100,bohorquez
368,aguiar,100,aguiar
369,Cofradia,80,cortada
370,gongalo,92,gonçalo
371,rruiz,89,ruiz
372,Lazaro,100,lazaro
373,Jordan,100,jordan
374,Gladena,86,galañena
375,Ara,86,jara
376,Fruteros,86,frutos
377,Viterba,83,viera
378,ximenes,86,ximenez
379,FIGUEROATRILLO,73,figueroa
380,giraldo,100,giraldo
381,martin,100,martin
382,Palazios,88,palacios
383,Lejalde,100,lejalde
384,Cedillo,100,cedillo
385,Tejado,83,tejada
386,ponce,100,ponce
387,Medie,83,mendibe
388,merida,100,merida
389,gonsales,80,rosales
390,Carransa,88,carranza
391,Uriarte,100,uriarte
392,carrizoça,94,carrizosa
393,manuel,100,manuel
394,SaFernan,86,fernan
395,Velazco,100,velazco
396,Urritia,86,urrutia
397,ocampos,92,ocampo
398,Auila,91,aguila
399,Coniques,75,donquers
400,Barrientos,100,barrientos
401,Sabastiana,90,sebastiana
402,bautista,100,bautista
403,illescas,100,illescas
404,valdivieso,100,valdivieso
405,Jiles,100,jiles
406,Ondarte,77,duarte
407,Patriarcha,78,petrarca
408,Vandelvira,100,vandelvira
409,pablo,100,pablo
410,Crisostomo,100,crisostomo
411,liviandali,71,livinio
412,Cortez,91,corte
413,tobar,100,tobar
414,jual,75,juan
415,vzos,73,verzosa
416,cifuentes,100,cifuentes
417,mda,75,madan
418,suares,83,soares
419,Jacon,80,jacob
420,tavera,100,tavera
421,Rdo,80,do
422,briseño,83,briceño
423,carranssa,88,carassa
424,Ziria,80,ciria
425,Valverde,100,valverde
426,ollero,92,olleros
427,Barba,100,barba
428,yglesias,88,iglesias
429,Men,86,mena
430,hijar,100,hijar
431,lasaro,83,lazaro
432,momorel,83,morel
433,Nievos,83,nieves
434,arenas,100,arenas
435,magd,75,agud
436,Balder--,80,baldomero
437,bendiese,71,mendes
438,Villasa,88,villaseca
439,Arespe,91,arese
440,escrivanos,84,escribano
441,Susana,100,susana
442,Mendes,100,mendes
443,josefe,91,josef
444,jancinto,93,jacinto
445,Acolina,92,colina
446,hordoñes,77,hornes
447,trinidad,100,trinidad
448,Araus,89,aras
449,Cortando,80,conrado
450,sabastian,89,sebastian
451,Zeballa,77,zabala
452,Bredembeque,63,brimbeuf
453,uillegas,88,villegas
454,carvajal,100,carvajal
455,Abellan,100,abellan
456,reynes,100,reynes
457,AMARROSTA,84,gambarrota
458,Emreynel,71,berenguel
459,garay,100,garay
460,Maxtu,80,mateu
461,Catalan,100,catalan
462,Roguera,86,noguera
463,Chavez,100,chavez
464,Arrenas,92,arenas
465,Seiba,77,esteibar
466,hartolome,89,bartolome
467,BERNABE,100,bernabe
468,e,50,per
469,seron,83,soberon
470,VILLAVICENCIO,100,villavicencio
471,çarate,91,garate
472,paula,100,paula
473,gerardo,100,gerardo
474,Moron,100,moron
475,espinofa,88,espinoza
476,maguelo,86,mazuelo
477,antonyo,86,anthony
478,siguientesjuan,64,siguenza
479,gutierrez,100,gutierrez
480,jorge,100,jorge
481,Troya,100,troya
482,LAUREANO,100,laureano
483,adrian,100,adrian
484,riquelme,100,riquelme
485,LORENZO,100,lorenzo
486,Guerrero,100,guerrero
487,lA,100,la
488,Camprovin,89,camprobin
489,elega,83,elexaga
490,enrique,100,enrique
491,Henequin,77,henin
492,nuestro,77,nueros
493,Villapando,95,villalpando
494,Oreutia,86,oreitia
495,Cartagena,100,cartagena
496,Pobea,80,obera
497,Bonifaz,100,bonifaz
498,BALTAZAR,100,baltazar
499,costumbre,71,cosme
500,Galindo,100,galindo
501,Zento,80,bento
502,Vidal,100,vidal
503,Texeda,100,texeda
504,COLERA,83,olmera
505,jesu,100,jesu
506,plaso,89,laso
507,caussa,83,cussac
508,leclerque,71,egerique
509,Barue,80,barre
510,henrriquez,95,henriquez
511,ysauel,83,samuel
512,Aragones,100,aragones
513,Morillas,100,morillas
514,rroela,83,roelas
515,ÇURBARAN,83,urban
516,Mnez,80,mendez
517,Pafecto,80,perfecto
518,bibes,80,ibeas
519,roldan,100,roldan
520,Vega,100,vega
521,mondragon,100,mondragon
522,Ignacia,100,ignacia
523,Conbera,86,corbera
524,SALMERON,100,salmeron
525,obel,89,obrel
526,sastre,100,sastre
527,Acha,100,acha
528,subira,100,subira
529,Morcillo,100,morcillo
530,Soto,100,soto
531,oro,100,oro
532,Bernal,100,bernal
533,Juy,75,junoy
534,Firman,83,firmat
535,Barrios,100,barrios
536,balduz,73,maduz
537,Gregorio,100,gregorio
538,Toscano,100,toscano
539,ospital,93,hospital
540,pedro,100,pedro
541,monguia,82,montaguila
542,serpa,100,serpa
543,Perea,100,perea
544,rramos,91,ramos
545,TRUJILLO,100,trujillo
546,Bajo,75,bado
547,coçar,100,coçar
548,Manuel,100,manuel
549,coca,100,coca
550,Miralles,100,miralles
551,Reina,100,reina
552,madera,100,madera
553,Riscos,91,risco
554,Eusebio,100,eusebio
555,eluira,83,elvira
556,Jhoan,89,joan
557,quisieredes,71,quiers
558,rubiales,100,rubiales
559,Primeramente,70,pimentel
560,Sabariego,89,savariego
561,Philipe,93,philippe
562,Ferrara,86,ferrari
563,Alcosser,80,alcocer
564,chancelo,80,cancela
565,fadrique,100,fadrique
566,palencia,100,palencia
567,Gracia,100,gracia
568,ZAMORATORO,78,zamorano
569,Vueva,80,nueva
570,Crispina,93,crispin
571,gallego,100,gallego
572,COUTOdieron,74,custodio
573,baleriano,100,baleriano
574,Dezcurra,93,ezcurra
575,Tomas,100,tomas
576,Rismendi,82,isasmendi
577,toranço,92,torrano
578,Yten,75,tena
579,Anton,100,anton
580,oforio,83,osorio
581,El,80,vel
582,Correa,100,correa
583,Guillen,100,guillen
584,Montilla,100,montilla
585,alfian,86,alfeiran
586,carrera,100,carrera
587,Marito,91,mario
588,obando,100,obando
589,Ros,100,ros
590,Villafume,82,villafañe
591,polar,89,pola
592,Probisor,71,robiou
593,bohorques,100,bohorques
594,Llera,89,lera
595,veinte,77,vicente
596,duran,100,duran
597,Hieroglificos,57,hipolito
598,lienzo,83,liendo
599,Sepeda,83,cepeda
600,torres,100,torres
601,Diez,100,diez
602,calle,83,caillet
603,peñalofa,86,peñaloza
604,baldra,91,balda
605,Maria,100,maria
606,FAMOL,75,amo
607,Villafranca,100,villafranca
608,Gamboa,100,gamboa
609,Legarbura,88,legarra
610,bobeda,80,beda
611,Mondi,75,mon
612,Joan,100,joan
613,Matieno,93,matienzo
614,rivas,100,rivas
615,oxeda,80,ojeda
616,escamilla,100,escamilla
617,Bias,89,briñas
618,Manrique,100,manrique
619,Leonarda,88,leonardo
620,fuergo,91,fuero
621,Mazuela,86,manuela
622,Arteaga,100,arteaga
623,fera,89,feria
624,Pessoa,91,pesoa
625,Valdivieso,100,valdivieso
626,Balcarses,82,balcarce
627,horozco,100,horozco
628,Jerena,83,serena
629,Abel,100,abel
630,marquez,100,marquez
631,FERNANDES,100,fernandes
632,ESCOBAR,100,escobar
633,febastian,89,sebastian
634,monsalbe,88,monsalve
635,Rodriguez,100,rodriguez
636,LORNEZO,86,lorenzo
637,ualdiuieso,80,valdivieso
638,Tinoco,100,tinoco
639,Navarette,89,navarrete
640,Prouior,71,perosio
641,girolamo,100,girolamo
642,pando,100,pando
643,Benitez,100,benitez
644,armix,73,armida
645,riuera,91,riera
646,pote,89,ponte
647,Talavera,100,talavera
648,aspur,73,gaspar
649,Bracho,100,bracho
650,Abraham,100,abraham
651,Saltillo,88,salzillo
652,da,80,das
653,Monsalbe,88,monsalve
654,Bien,86,bie
655,bernando,88,bernardo
656,bibe,86,bie
657,mayorga,100,mayorga
658,Cobos,100,cobos
659,Castellana,91,castellarnau
660,Ubrien,91,urien
661,mari,100,mari
662,desquivel,94,esquivel
663,bergara-,86,bergada
664,Alejo,100,alejo
665,VOBADILLA,89,bobadilla
666,larrainzar,78,carranza
667,ysac,75,saco
668,daza,100,daza
669,iohan,80,rohan
670,santillana,100,santillana
671,Lorenzana,100,lorenzana
672,frayle,91,fraye
673,musquis,71,muzquiz
674,melgarexo,89,melgarejo
675,figuenza,88,siguenza
676,bulto,80,busto
677,MATIAS,100,matias
678,Benditas,86,benita
679,Larda,89,lara
680,rresidencia,67,sidonia
681,Lozano,100,lozano
682,Salzedo,92,alzedo
683,Señoria,91,soria
684,bermondo,88,vermondo
685,VELASCO,100,velasco
686,Niño,100,niño
687,Garzaran,88,garzaron
688,luzon,80,luzan
689,Tirando,92,tirado
690,Vitudes,83,vides
691,Tornero,100,tornero
692,Sarabia,100,sarabia
693,Navaro,92,navarro
694,scriuos,73,scio
695,gadea,100,gadea
696,Castilla,100,castilla
697,Cuatrocientos,72,castro-pinos
698,calsada,86,calzada
699,turin,80,urien
700,aragon,100,aragon
701,atabante,80,cañabate
702,juan,100,juan
703,barraffa,80,carrafa
704,elvira,100,elvira
705,lazaro,100,lazaro
706,masias,91,masia
707,Cruz,86,cru
708,ZARAZOSA,80,marañosa
709,Negra,80,negri
710,baeça,89,baeza
711,cristoual,89,cristobal
712,menores,83,menor
713,baler,83,balerdi
714,sequera,93,sequeira
715,Carriedo,100,carriedo
716,Thorobio,93,horobio
717,Covarubias,95,covarrubias
718,Farias,100,fariñas
719,calzada,100,calzada
720,ballesteros,100,ballesteros
721,CRISTOBAL,100,cristobal
722,seco,80,secano
723,Granado,100,granado
724,Mena,100,mena
725,Sohenone,71,seoane
726,almayda,86,almeyda
727,van,100,van
728,Batellos,80,batlles
729,rrobles,92,robles
730,fabian,100,fabian
731,montae,92,montañes
732,HIPOLITO,100,hipolito
733,OCA,100,oca
734,BARAONA,100,baraona
735,guisado,83,guido
736,cuello,83,coello
737,Benavides,100,benavides
738,ramires,86,ramirez
739,santisimo,89,santisima
740,VISTAL,80,vial
741,Bueno,100,bueno
742,castellar,100,castellar
743,bilches,86,vilches
744,podays,77,posadas
745,mrs,75,miras
746,Alexandro,89,alejandro
747,nton,89,anton
748,ynacio,77,ignacio
749,Birues,83,virues
750,descobar,93,escobar
751,Camian,91,camin
752,aguero,100,aguero
753,bezerra,86,becerra
754,Xpttoval,62,toral
755,Laino,91,latino
756,SaA,100,saa
757,Veorostigui,76,verastegui
758,Ufanqui,80,yupanqui
759,vicuña,100,vicuña
760,Vaca,100,vaca
761,Dormaza,92,ormaza
762,VAL,100,val
763,bueras,100,bueras
764,cruz,86,cru
765,Rosales,100,rosales
766,Parias,92,pardiñas
767,ceprian,86,cebrian
768,uçeda,89,uceda
769,Colmenares,100,colmenares
770,Obila,83,cobilla
771,ferron,91,ferro
772,orden,83,ordeñana
773,ALBERTO,100,alberto
774,Belero,83,bolero
775,Girondo,83,giron
776,Pallares,100,pallares
777,ONORIO,92,honorio
778,AFANDOR,77,amador
779,cafa,80,carafa
780,fajardo,100,fajardo
781,Escoltura,82,escosura
782,ontiueros,89,ontiveros
783,buendia,100,buendia
784,Suero,100,suero
785,NAVARRETE,100,navarrete
786,Ursola,83,ursula
787,vza,67,van
788,Otamendi,100,otamendi
789,uicuña,80,vicuña
790,garrido,100,garrido
791,Sepulbeda,89,sepulveda
792,rubricado-antonio,59,torrubiano
793,soto,100,soto
794,tordesillas,100,tordesillas
795,silva,100,silva
796,Luciano,100,luciano
797,Estado,86,estuardo
798,Gamero,83,armero
799,Malber,83,albert
800,Moracho,80,corbacho
801,Maso,89,manso
802,Flesson,77,aleson
803,lavores,83,lores
804,tres,89,teres
805,albaro,92,albariño
806,alcaudete,75,alcayde
807,Ricardo,100,ricardo
808,basquez,86,vasquez
809,OROZCO,100,orozco
810,nicolas,100,nicolas
811,cuñiga,75,uiña
812,uzos,75,buzo
813,Herhardt,80,gerhard
814,melendes,88,melendez
815,hefeto,71,perfecto
816,Carreño,100,carreo
817,serrano,100,serrano
818,Villalan,100,villalan
819,Marbagon,86,aragon
820,llescas,93,illescas
821,FLAMOL,80,lamo
822,matheo,100,matheo
823,gregoria,100,gregoria
824,astudillo,100,astudillo
825,Costa,100,costa
826,Brocato,83,broto
827,mena,100,mena
828,villacreces,100,villacreces
829,arroyo,100,arroyo
830,Vra,86,vara
831,Henrique,100,henrique
832,Borte,89,bote
833,Cauildo,86,casildo
834,bafco,80,bacio
835,Marcelino,100,marcelino
836,Trigueros,100,trigueros
837,Alcocer,100,alcocer
838,Lobato,100,lobato
839,Benefdo,80,benedito
840,carrillo,100,carrillo
841,puebla,100,puebla
842,laurencio,100,laurencio
843,Gradilla,100,gradilla
844,ANTONIO,100,antonio
845,angulo,100,angulo
846,Lorenço,92,lorenzo
847,Peñaranda,100,peñaranda
848,orgas,89,orga
849,Lucrecia,100,lucrecia
850,nesesita,71,messia
851,ARTEAGAALFARO,71,arteaga-lazcano
852,vanegas,86,venegas
853,Blasquez,88,blazquez
854,moro,100,moro
855,Narvaes,86,narvaez
856,derechoAlonso,64,idelfonso
857,figeroa,93,figueroa
858,despinoza,94,espinoza
859,licdo,80,lindo
860,escº,75,escaño
861,Cauallero,89,caballero
862,Conrado,100,conrado
863,Abrego,80,breço
864,Presbiteros,76,prestamero
865,santillano,95,santillan
866,Blascoen,86,blasco
867,vares,89,ares
868,micer,89,mier
869,FERNANDEZTORRES,75,fernandes
870,oviedo,100,oviedo
871,belasquez,89,velasquez
872,muños,89,muros
873,derriuar,71,verrua
874,pierres,100,pierres
875,FALCONJORDAN,67,jordan
876,Marquesa,93,marques
877,baltazar,100,baltazar
878,Jauregui,100,jauregui
879,cevadero,80,caldero
880,Eslande,83,sande
881,Francisco,100,francisco
882,arquiteturafray,62,iturrigaray
883,Carreno,92,carreo
884,Reinoso,100,reinoso
885,biuda,80,bidal
886,Rettuertta,89,retuerta
887,Mayordomia,75,mayora
888,MATEO,100,mateo
889,deça,86,deza
890,galindes,88,galindez
891,rrafael,92,rafael
892,margarita,100,margarita
893,Silva,100,silva
894,martinez,100,martinez
895,Ochoa,100,ochoa
896,Pineda-,100,pineda
897,taybique,67,taybili
898,Carvajal,100,carvajal
899,Mendriaga,80,mendaña
900,Acencion,88,ascencio
901,desan,80,esain
902,tacon,100,tacon
903,Texada,100,texada
904,Ayssa,89,aysa
905,rocha,100,rocha
906,Roxo,86,roo
907,VALBUENA,100,valbuena
908,Tocha,91,atocha
909,Gamaza,80,maza
910,Virues,100,virues
911,señalare,73,sala
912,Ibañez,100,ibañez
913,Alsola,83,alzola
914,montero,100,montero
915,delos,75,dos
916,ALFONSO,100,alfonso
917,Josefe,91,josef
918,Albares,86,tabares
919,nufro,80,nuflo
920,tapia,100,tapia
921,SEGOVIA,100,segovia
922,COBOS,100,cobos
923,Veloso,77,velasco
924,Aro,86,baro
925,Morillo,100,morillo
926,MesaSe,91,mesas
927,Acero,100,acero
928,balverde,88,valverde
929,SARACOSA,86,sarasa
930,Buelna,100,buelna
931,Mercado,100,mercado
932,bustamante,100,bustamante
933,manco,100,manco
934,Bitaben,77,briaen
935,Iglesia,100,iglesia
936,lucas,100,lucas
937,serbicio,71,tricio
938,Equivel,93,esquivel
939,hernimo,80,geronimo
940,jusgo,80,justo
941,Escribanos,95,escribano
942,aluares,86,alvares
943,bta,75,beata
944,Zabola,83,azaola
945,Alderete,100,alderete
946,Angela,100,angela
947,xpo,67,pio
948,madalena,94,magdalena
949,Cauello,86,calello
950,sacandoles,71,canales
951,JOSEPH,100,joseph
952,Sanguino,88,anguiano
953,RIVAS,100,rivas
954,Loaisa,100,loaisa
955,gosso,91,grosso
956,LAZARO,100,lazaro
957,ythen,67,tena
958,HENRIQUEZ,100,henriquez
959,Obispo,67,sobiñas
960,medoro,100,medoro
961,Carillo,93,cardillo
962,deallo,91,dallo
963,Zurbaran,80,azurara
964,Josefa,100,josefa
965,Remesal,100,remesal
966,Virgilio,93,vigilio
967,SALCEDO,100,salcedo
968,VAZQUEZ,100,vazquez
969,Ihoan,75,hoa
970,bernal,100,bernal
971,Barrena,100,barrena
972,Cazquiso,71,aquino
973,Morales,100,morales
974,comontes,100,comontes
975,VMd,57,vada
976,Arquiteto,75,marquet
977,juanes,100,juanes
978,paladinas,75,palacin
979,Federegui,89,federigui
980,Porrez,83,porres
981,Espada,100,espada
982,mansilla,100,mansilla
983,leandro,100,leandro
984,JARAMILLO,100,jaramillo
985,aguilera,100,aguilera
986,Albin,100,albin
987,HAS,86,hans
988,estacio,80,restaino
989,acinto,92,jacinto
990,CARMANA,86,carmona
991,Ipenarieta,90,ipeñarrieta
992,filipe,100,filipe
993,ysquierdo,82,esquerdo
994,antunes,86,antunez
995,pina,100,pina
996,tortello,80,sorello
997,Guera,91,guerau
998,Espanta,77,espina
999,Cerdero,92,cerdeño
1000,Enche,91,denche
1001,Sorqueza,78,astorquiza
1002,minez,83,minguez
1003,Hidalgo,100,hidalgo
1004,farinas,92,farina
1005,alcala,83,alcaya
1006,REYES,100,reyes
1007,dallo,100,dallo
1008,Serra,100,serra
1009,Pinedo,100,pinedo
1010,Sanchez,100,sanchez
1011,Muy,75,muley
1012,nueftra,71,natuera
1013,Tordera,86,tornera
1014,lerchundi,75,echandi
1015,bedriero,75,merinero
1016,Marmol,100,marmol
1017,jueses,73,jesus
1018,asentallo,78,bentallol
1019,Varela,100,varela
1020,Artifice,67,sartine
1021,Olea,100,olea
1022,naverro,86,navarro
1023,Guadix,100,guadix
1024,Nazareno,100,nazareno
1025,mi,80,miño
1026,priora,77,pereira
1027,Adam,100,adam
1028,dionisio,100,dionisio
1029,Sanbarte,80,sabater
1030,soria,100,soria
1031,Aycona,83,azcona
1032,Infante,100,infante
1033,guzman,100,guzman
1034,Candelaria,100,candelaria
1035,Placido,100,placido
1036,Pereira,100,pereira
1037,fuenmayor,100,fuenmayor
1038,hontiberos,90,hontiveros
1039,Dias,89,dimas
1040,leça,86,olea
1041,Cordoba,100,cordoba
1042,feca,80,faneca
1043,dionicio,88,dionisio
1044,Bartholome,95,bartolome
1045,Carrillo,100,carrillo
1046,cea,100,cea
1047,gutierre,100,gutierre
1048,cornisa,83,coria
1049,tercero,100,tercero
1050,coronado,100,coronado
1051,Haro,100,haro
1052,monforte,100,monforte
1053,Franco,100,franco
1054,lucena,100,lucena
1055,CONELIO,93,cornelio
1056,Varros,83,barros
