,docid,match,string,start,end
440,1422,diego de,diego de,107,109
441,1423,marcos,marcos,244,245
442,1425,juan,juan,105,106
443,1425,"juan
",juan,105,106
444,1425,maria,maria,76,77
445,1425,juan batista,juan batista,105,107
446,1425,ines,ines,523,524
447,1425,pedro,pedro,518,519
448,1425,costa,costa,784,785
449,1426,costa,costa,472,473
450,1429,juan,juan,105,106
451,1429,"juan
",juan,105,106
452,1429,juan bautista,juan bautista,105,107
453,1429,bautista,bautista,106,107
454,1430,ana,ana,30,31
455,1431,isabel,Isabel,845,846
456,1437,margarita,margarita,68,69
457,1438,isabel,Isabel,1600,1601
458,1438,maria,maria,1535,1536
459,1438,phelipe,phelipe,1116,1117
460,1438,carlos,carlos,932,933
461,1438,catalina,catalina,1635,1636
462,1438,alfonso,alfonso,1462,1463
463,1438,luis,luis,1232,1233
464,1438,ana,ana,1568,1569
465,1438,fernando,fernando,1664,1665
466,1438,margarita,Margarita,11,12
467,1438,costa,costa,1324,1325
468,1439,martin,martin,763,764
469,1440,pablo,pablo,143,144
470,1440,pedro,pedro,140,141
471,1442,domingo,domingo,124,125
472,1444,señor prouisor,señor prouisor,58,60
473,1445,joseph,joseph,65,66
474,1450,costa,costa,95,96
475,1453,costa,costa,88,89
476,1455,costa,costa,225,226
477,1456,juan,juan,73,74
478,1456,"juan
",juan,73,74
479,1458,costa,costa,157,158
480,1466,bernabe de baeza,bernabe de baeza,877,880
481,1466,miguell,miguell,695,696
482,1473,juan,juan,114,115
483,1473,"juan
",juan,114,115
484,1473,juan bautista,juan bautista,114,116
485,1473,miguel,miguel,145,146
486,1473,bautista,bautista,115,116
487,1474,pedro,pedro,132,133
488,1477,diego,diego,62,63
489,1477,diego de,diego de,62,64
490,1479,antonio,antonio,63,64
491,1486,pedro,pedro,732,733
492,1486,hartolome de la puerta,hartolome de la puerta,185,189
493,1486,joan,joan,804,805
494,1486,joan bautista,joan bautista,804,806
495,1486,bautista,bautista,805,806
496,1486,francisca,francisca,750,751
497,1486,costa,costa,1024,1025
498,1487,costa,costa,50,51
499,1488,juan,juan,412,413
500,1488,"juan
",juan,412,413
501,1488,maria,maria,344,345
502,1488,catalina de sena,catalina de sena,393,396
503,1488,pedro,pedro,383,384
504,1488,catalina,catalina,348,349
505,1488,tomas de aquino,tomas de aquino,367,370
506,1488,maria madalena,maria madalena,344,346
507,1488,domingo,domingo,364,365
508,1488,andres,andres,386,387
509,1489,costa,costa,162,163
510,1491,costa,costa,99,100
511,1492,juan,juan,181,182
512,1492,"juan
",juan,181,182
513,1492,juan bautista,juan bautista,181,183
514,1492,francisco,francisco,603,604
515,1492,ysabel,ysabel,171,172
516,1492,bautista,bautista,182,183
517,1492,cano,cano,1006,1007
518,1495,francisco,francisco,138,139
519,1495,tomas de aquino,tomas de aquino,212,215
520,1497,teresa,Teresa,637,638
521,1497,marco,marco,956,957
522,1497,costa,costa,1649,1650
523,1500,pedro,pedro,386,387
524,1506,señor prouisor,señor prouisor,20,22
525,1513,maria,maria,147,148
526,1513,francisco,francisco,173,174
527,1513,josefe,josefe,178,179
528,1513,maria madalena,maria madalena,147,149
529,1514,costa,costa,178,179
530,1515,pedro,pedro,82,83
531,1515,costa,costa,69,70
532,1516,marcos,marcos,77,78
533,1518,costa,costa,225,226
534,1521,juan,juan,148,149
535,1521,"juan
",juan,148,149
536,1521,juan bautista,juan bautista,153,155
537,1521,miguel,miguel,144,145
538,1521,bautista,bautista,154,155
539,1523,juan,juan,406,407
540,1523,"juan
",juan,406,407
541,1523,maria,maria,86,87
542,1523,pedro,pedro,414,415
543,1523,costa,costa,474,475
544,1527,francisco,francisco,192,193
545,1530,niculas,niculas,258,259
546,1533,costa,costa,141,142
547,1547,fernandez,fernandez,47,48
548,1593,costa,costa,758,759
549,1601,beatriz,beatriz,70,71
550,1619,francisca,Francisca,14,15
551,1635,maria,maria,131,132
552,1645,costa,costa,52,53
553,1648,juan,juan,382,383
554,1648,"juan
",juan,382,383
555,1648,juan baptista,juan baptista,382,384
556,1649,costa,costa,43,44
557,1650,costa,costa,436,437
558,1651,marco,marco,335,336
559,1651,costa,costa,814,815
560,1656,teresa,Teresa,23,24
561,1663,francisco,francisco,53,54
562,1663,francisco de paula,francisco de paula,53,56
563,1663,francisco de,francisco de,53,55
564,1663,costa,costa,187,188
565,1664,juan,juan,288,289
566,1664,"juan
",juan,288,289
567,1664,juan de,juan de,288,290
568,1664,pedro,pedro,412,413
569,1664,francisco,francisco,455,456
570,1664,andres,andres,415,416
571,1665,costa,costa,179,180
572,1665,niculas,niculas,47,48
573,1666,costa,costa,221,222
574,1667,francisco,francisco,63,64
575,1672,juan,juan,974,975
576,1672,"juan
",juan,974,975
577,1672,maria,maria,976,977
578,1672,costa,costa,592,593
579,1674,teresa,teresa,47,48
580,1676,juan,juan,55,56
581,1676,"juan
",juan,55,56
582,1676,juan bautista,juan bautista,55,57
583,1676,bautista,bautista,56,57
584,1676,costa,costa,86,87
585,1677,antonio,antonio,42,43
586,1679,catalina,catalina,91,92
587,1680,ana,ana,55,56
588,1680,costa,costa,263,264
589,1682,costa,costa,72,73
590,1683,pedro,pedro,66,67
591,1684,señor prouisor,señor prouisor,151,153
592,1685,miguel,Miguel,9,10
593,1692,pedro,pedro,171,172
594,1692,antonio,antonio,145,146
595,1692,bartolome,bartolome,185,186
596,1692,costa,costa,271,272
597,1695,señor prouisor,señor prouisor,192,194
598,1695,miguel,miguel,224,225
599,1695,joan,joan,1872,1873
600,1695,costa,costa,1255,1256
601,1696,pablo,pablo,141,142
602,1696,francisco,Francisco,57,58
603,1698,josephe de arze,josephe de arze,15,18
604,1698,juan,Juan,795,796
