,0
970,tercias reales
971,teresa
972,thasa padial
973,theresa
974,thomas gisado
975,tiberio camian
976,tirando alfanje
977,tirio piedra
978,tobias
979,tomasa
980,tomasa sorqueza
981,tomas
982,uernaue belazque despinoza
983,urban viueros
984,va
985,va mad
986,va magestad
987,va merced
988,va sa
989,va sa va
990,va saa va
991,va safernan ruys
992,vmd
993,valencina alcor
994,valera
995,valeriano zaragoza
996,varela
997,vargas
998,vas
999,vazquez
1000,velasco
1001,velazquez
1002,vicente
1003,villacreces
1004,villegas
1005,violante ribafelcha
1006,voutert pieterz
1007,vra
1008,vrrutia
1009,vuestra magestadsevilla
1010,vuestra señoria
1011,xacinto pimenttel
1012,xeres jues
1013,xpo
1014,xpo debocion
1015,xpoual
1016,xpoual bermudo
1017,xpoual despaña
1018,xpoual nuñes frayle
1019,xptobal guadis
1020,xptoual
1021,xptoval guadiz
1022,xptoval guadis
1023,xpttoval morante sochantre
1024,yerbado luis batellos
1025,ygnacio
1026,ygnacio vbilla
1027,ylltres señoresla
1028,ylustrisimo cavildo
1029,ymbentario los bienes
1030,ysabel artiaga
1031,ysabel estupiñan abadesa 
1032,ysabel arteaga y salzedo
1033,ysabel artiaga y alua
1034,ysabel artiaga y salcedo
1035,ysauel artiaga y alua
1036,abeis bendido
1037,abeis haser
1038,abeis los restituir
1039,abeis gastado
1040,aberlo bisto
1041,abiendo bisto
1042,abito biuda
1043,abito calatraua
1044,abito montefa
1045,abito montessa
1046,ablo legote
1047,acauar eneruandola
1048,acostunbrada ythen
1049,adrian ybañes
1050,afencio maeda
1051,afenfio maeda
1052,afenfio mendoza
1053,aforro las mangas
1054,aforro arco
1055,agustin zojo
1056,agustin useda
1057,alamo seco
1058,alberto blasques
1059,alberto durero
1060,alberto durero jumetria
1061,albornos donsella
1062,alcanse juo
1063,alferes baltasar rribera
1064,alferez baltasar rribera
1065,alfonso ouiedoalexos
1066,alonffo bazquez
1067,alonffo sanchez
1068,alonfo bandeluira
1069,alonfo forero
1070,alonfo forero guzman
1071,alonfo larios monje
1072,alonfo muños
1073,alonfo rrubio
1074,alonfo rruiz
1075,alonso allarran
1076,alonso asegurado
1077,alonso atabalipa
1078,alonso ciega
1079,alonso meffa
1080,alonso nobela
1081,alonso pabes
1082,alonso rrebenga
1083,alonso dixere
1084,alonso hortis sanbrano
1085,alonso mi
1086,alonso nuñes gusman
1087,alonso rramires
1088,alonso rruys
1089,alonso rruyz
1090,altaneria vna
1091,aluaro oballe
1092,aluaro hernandes
1093,amaro bazques
1094,amaro vazques
1095,ambrofio urnaberos
1096,ambrosyo sanches
1097,ana cues
1098,ana hedad
1099,ana peñaflor
1100,ana roxas
1101,ana y antonyo
1102,ana ybragon
1103,anbrosio billalobos
1104,anbrosio rromero
1105,andres bentaxa narbaez
1106,andres garrocho abeis
1107,andres garrocho aze
1108,andres garrucho
1109,andres gaxo ynquisidor
1110,andres moril rescebi
1111,andres nuñes
1112,andres rramires
1113,andres ruiz 
1114,anfi nonbraren
1115,anfi tomaredes
1116,angeles resplandores
1117,angeles zedro
1118,angeles i serafines
1119,anton
1120,anton beyntes
1121,anton bijo
1122,anton blasques
1123,anton rramires
1124,antonia cueua
1125,antonia esclaua
1126,antonio belez alcoger
1127,antonio silba
1128,antonio luto
1129,antonio petruche
1130,antonio queto
1131,antonio seis
1132,antonio ysasi
1133,antonio flaerhuer
1134,antonio jil gataon
1135,antonio labaco
1136,antonio mini
1137,antonio rrodriguez polei
1138,antonio vaes
1139,antono alfian
1140,antonyo cerezedo
1141,antonyo neueros
1142,aparexar gruefo
1143,aparysio martyn
1144,ariba vña gloria
1145,arquiteturafray miguel loxa
1146,artos yordan
1147,artus jordan
1148,artus yordan
1149,arçobispo sevilla
1150,asan fraucisco
1151,azer nueva reforma
1152,añosxpoual ortiz
1153,baeça huexcar
1154,bafco pereyra
1155,baleriano guiñes
1156,balidasson ynterpongo
1157,balor nesesita
1158,baltasar
1159,baptista basques
1160,baptizo el señor
1161,bartholome seraphin
1162,bartolo gonsales
1163,bartolome bazquez teneys
1164,bartolome balberde
1165,bartolome casaberde
1166,bartolome piarrubia
1167,bartolome dias cofrades
1168,bartolome rruyz
1169,batista basques
1170,bauptista basquez
1171,bautista basques
1172,bautista basques el biejo
1173,bautista i vazques
1174,beatris belasco y suñiga
1175,beatris ceruantes
1176,beatris rribera
1177,beatris sequera
1178,beatris çuñiga y belasco
1179,beatriz serbantes
1180,beatriz zuñiga
1181,beatriz çuñiga y belasco
1182,becino madalena
1183,becino sebilla
1184,benbenuto tortello
1185,benedita belini
1186,benefficio ynbentario
1187,benir cerafines
1188,benir peana
1189,benito montedoi
1190,benito montedoy batihoja
1191,benyto montedoy
1192,benyto sanches
1193,berbo ad berbum
1194,berbo ad berbun
1195,bermondo rresta
1196,bernabe belasques
1197,bernabe minuche
1198,bernal belasques
1199,bernal trese
1200,bernardinus costantinus
1201,bernardo barva
1202,bernardo barva teneys
1203,bernardo baldibiefo
1204,bernardo saabedra e rrojas
1205,bernaue belasques
1206,bernaue minucho
1207,bernave belasques
1208,bernave belazquez
1209,bibe beatriz serbantes
1210,bibe rezebi
1211,bicente hernandes
1212,bienen adorallo
1213,bifente perea
1214,bifta maeftros
1215,bine las probincias
1216,birgen maria
1217,bisente perea
1218,bisente durango
1219,bista officiales
1220,bista ofisiales
1221,bisto el retablo
1222,biuda mugr gaspar ragis
1223,bizente durango
1224,bizente fernandez
1225,bizente fernandez ensanbladores
1226,blas cartilla noel
1227,blas muños sinco
1228,brigida boche
1229,brigida broche
1230,buenabentura ortiz los marabedis
1231,buestra cassa
1232,buestra cofta
1233,byolante sanabria
1234,cafa ospital
1235,calzon rropilla
1236,cana galilea
1237,candelero subceda
1238,canonigo gonçalo brizeño
1239,canonigo hernando
1240,canonigo ribero
1241,carlos hincado
1242,carlos nuestro
1243,carlos rrexis
1244,catalina canpania
1245,catalina fandobal
1246,catalina rroxas
1247,catalina salzedo y sandobal
1248,catalina seruantes
1249,catalina fu
1250,catalina melgarexo monxa
1251,catalina no
1252,catalina no profesare
1253,caussa buestra
1254,cavsa obiere
1255,cañamo nuebo
1256,ceprian medina soperior
1257,ciud seuia
1258,ciudadde seuilla
1259,clerigo capellan
1260,conpañia bieren
1261,conplir pintura
1262,contreras escº
1263,cosmographia de
1264,costança de
1265,costare asentallo
1266,costumbre yten
1267,crestina beles
1268,cristoual darcos
1269,cristoual tello prior
1270,cuia silleria
1271,de r
1272,de herrera y aguilar
1273,de rosa
1274,de obiedo
1275,debocion santa agueda
1276,deljuan martinez montañessebastian cardenastodo
1277,derechoalonso castro
1278,derriuar fera
1279,deseojuan oviedo
1280,desiderio balleoso
1281,desistio della
1282,dexe linpio
1283,dgo camargo
1284,diego 
1285,diego belafques
1286,diego belasques
1287,diego brasero
1288,diego cuio
1289,diego velaffco
1290,diego baldeolibas
1291,diego baldibieso
1292,diego barraffa
1293,diego fauzedo
1294,diego hozes
1295,diego hudovro rexero
1296,diego inendoga
1297,diego naba
1298,diego santa cruz
1299,diego ssaabedra ffaxardo
1300,diego zuloaga
1301,diego debera
1302,diego defcalços
1303,diego deoballa mexico
1304,diego desquibel pintura
1305,diego flamenco
1306,diego heruandes
1307,diego lopez ficieron reber
1308,diego nuñes
1309,diego rramires
1310,diego rramires scruo
1311,diego sanches armario
1312,diego vasques pedrassa
1313,diego y francisca
1314,dionifio monferrate
1315,dionisio d matheo
1316,dixeren baler
1317,domingo oxirondo
1318,domingo gonfales
1319,domingo gonsales
1320,dotor herrera
1321,dotores i santa barbara i santa elena
1322,dozena llorones
1323,duque medinacidonia
1324,efte hefeto
1325,efte memorial
1326,efto feñalare
1327,elbira birues
1328,elbira yllescas
1329,elena nuñes
1330,elicio fernandez rrecibi
1331,enello va
1332,enrrique sufre
1333,enrrique sustre
1334,entendys pudiendolo
1335,estanterol hazia
1336,esteuan ortis
1337,esteuan sanches
1338,faluatierra assistente
1339,favian umanes
1340,febastian bieffas
1341,febastian viuar
1342,fee ldo
1343,felipe 2- tres
1344,felipe rriuas
1345,feliphe vorja
1346,felis obiedo
1347,ferdo ayllon
1348,ferdo samiguel
1349,fernan gr
1350,fernandesalonso vargas
1351,fernando al rededor
1352,fernando esturme
1353,fernando esturmes
1354,fernando jotes
1355,fernando lamestosa
1356,fernando serbantes
1357,fernando silba
1358,fernando uzeda
1359,fernando desturmes
1360,fernando martin 
1361,feuillayo alo alarcon
1362,feñor san joffeph
1363,feñor sant
1364,feñorefhernan ruys
1365,feñoresjuo cauello
1366,ffedro feca
1367,fferretefranco fernandes albares
1368,ffrai fernando
1369,fide jusoribus
1370,fido traji
1371,figueroa provifor
1372,figuiente el
1373,figuiente las
1374,figuiente
1375,firma momorel
1376,firmadoantonio perea
1377,firmefecho ut supraxpobal
1378,formulas usualesfirma
1379,fortifican popa
1380,francisca renuescas
1381,francisca rremescas
1382,francisca rrenuescas
1383,francisca soy
1384,francisca sustentandola
1385,francisco labonio
1386,francisco ravancho
1387,francisco adornio
1388,francisco albadan
1389,francisco anefino
1390,francisco basques
1391,francisco buidanid
1392,francisco zurbaran
1393,francisco abrego
1394,francisco abrego las llaues
1395,francisco almonte scriuo
1396,francisco fianor
1397,francisco assuncion frayles y
1398,francisco resurreccion
1399,francisco rresurrecion
1400,francisco leaberun
1401,francisco monfalbe
1402,francisco monfalue
1403,francisco nabas
1404,francisco rrioxa
1405,francisco santa cruz
1406,francisco surbaran
1407,francisco uzeda
1408,francisco xeres
1409,francisco xerez
1410,francisco zelis
1411,francisco zurbaran maeftro
1412,francisco dias escº
1413,francisco el
1414,francisco feron
1415,francisco firmada anbos
1416,francisco habier
1417,francisco juanete
1418,francisco manrrique fuñiga
1419,francisco nuñes balençuela
1420,francisco nuñes xeres
1421,francisco rruys
1422,francisco rruyz
1423,francisco terfon
1424,francisco y
1425,francisso ocanpo
1426,franco cueua
1427,fray xpobal cruz
1428,frncisca ximenes oxeda
1429,galon oro
1430,gançalo vasques
1431,garcia
1432,garcia benjumea
1433,garcia gibraleon
1434,garcia descacena
