Casamayor de La Coma, María Andresa. Casandro Mamés de La Marca y Araioa
Acuña y Bejarano, Juan de. Marqués de Casafuerte (I)
Acuña Cabrera y Bayona, Antonio de
Acuña Coello y Torrado, Francisco de
Acuña Enríquez, Juan de. Conde de Buendía (III)
Acuña y Fernández de Miranda, Diego
Acuña y Guzmán, Ana María de. Marquesa del Valle de Cerrato (IV)
Acuña y Guzmán, Antonia Marcela de. Marquesa del Valle de Cerrato (III)
Acuña y Malvar, Pedro Antonio
Acuña y Meneses, Pedro de. Marqués de Asentar (I)
Acuña y Portugal, Enrique de. Conde de Valencia de Don Juan (IV)
Acuña y Portugal, Pedro de. Conde de Valencia de Don Juan (II), Señor de las villas de Fresno, Cabreros y Villademur
Acuña Quadros, Pedro Antonio de
Acuña Troncoso, Cosme
Acuña Vela, Juan de
Acuña y Zúñiga, Hernando de
Adalid Ramírez de Arellano, Marcial Francisco del
Adam de la Parra, Juan
Adame , Manuel. El Locho
Adame , Miguel
Adán , Domingo
Adán , Manuel
Adán Morlán, Juan
Adaro y San Martín, Jácobe de
Adarzo de Santander, Gabriel de
Adell y de Bie, Francisco Javier
Adeva y Pacheco Arévalo, Manuel
Adorno y Dávila, Diego de
Adorno Spínola, José
Adorno Spínola, Pedro
Adorno Spínola, Rafael
Adrián , Diego de
Adriano VI. Adriano de Utrecht
Adsor Pagés, Cayetano Lorenzo de
Aduarte , Francisco
Aduarte , Juan Diego
Adurza , Juan de
Aerts , José de
Afán de Ribera , Fernando. Duque de Alcalá de los Gazules (III), Marqués de Tarifa (IV)
Afán de Ribera , Pedro. Juan de Rivera, Per Afán de Ribera. Duque de Alcalá de los Gazules (I), Marqués de Tarifa (II)
Afán de Rivera y Gadea, Pedro
Afferden , François van
Afonso , Graciliano
África , Felipe de. Felipe de Austria
Aganduru Moriz, Rodrigo. Rodrigo de San Miguel
Agar y Bustillo, Pedro
Agramont y Toledo, Juan de
Agramonte , Juan de
Agraz , Alonso. Marqués de Lagonia (I)
Ágreda , Francisco
Ágreda , Sebastián
Ágreda Guillén, Miguel de
Ágreda Ilarduy, Manuel de
Ágreda y Martínez Cabezón, Diego de. Conde de Casa de Ágreda (I)
Ágreda y Martínez Cabezón, Simón de
Ágreda Ortega, Esteban de
Ágreda Ortega, Manuel de
Ágreda y Ruiz de Alda, José de. José de San Juan de la Cruz
Ágreda y Vargas, Diego de
Ágreda de Vergara , Alonso
Agrelo , Pedro José
Aguado , Francisco
Aguado , Juan de
Aguado , Mateo
Aguado , Pedro
Aguado , Pedro de
Aguado , Simón
Aguado Delgado, Roque
Aguado Fernández de Córdoba, Antonio Francisco
Aguado García, Dionisio Tomás Ventura
Aguado Marchamalo, Isidro Benito
Aguado Meneses, Pedro
Aguado y Oquendo, Manuel
Aguado y Remírez de Estenoz, Alejandro María de. Marqués de las Marismas del Guadalquivir (I)
Aguado de Valdés, Andrés
Agualongo Almeida, Agustín
Aguar , Andrés
Aguas , Miguel de
Aguayo , Alberto de
Aguayo , Alberto de
Aguayo , Alonso de
Aguayo , Antonio
Aguayo , Jerónimo
Aguayo , José María
Aguayo , Juan
Aguayo , Pedro Bautista
Agudo , Pablo
Agüera Bustamante y Gutiérrez, Benito
Agüero , Benito Manuel de
Agüero , Cristóbal de
Agüero , Cristóbal de
Agüero , Francisco
Agüero , Jerónimo de
Agüero , José Mariano
Agüero , Juan Miguel de
Agüero , Julián Segundo de
Agüero y Garay, Diego de. El Mozo
Agüero González, José Carlos
Agüero Riva, José Pablo de
Agüero y Sandoval, Diego de. El Viejo
Aguerre , José de
Aguerre y Azpilicueta, Pedro de. Pedro de Axular
Aguerre e Ibero, Luis de
Aguerri , Miguel
Aguerri y Churruca, José de. Marqués de Valdeolmos (I)
Aguerri y Churruca, Pedro de
Agüesca , Juan Jerónimo
